PATH, FILENAME, LINE, STATE, CUrRENT HINT, EXPECTED HINT, TOTAL #, TAKEN % , TAKEN, NOT TAKEN, NUM_BRANCHES, BRANCH TYPE, LINE OF CODE
/home/GabrielCSMO/devel/python/Objects, dictobject.c, 1265, OVERFLOW, NONE, NONE, 3027535, 0, 22071, 3005464, 4, UNKNOWN, if (!PyUnicode_CheckExact(key) ||
/home/GabrielCSMO/devel/python/Objects, dictobject.c, 1268, MISSING, NONE, UNEXPECTED, 3005506, 0, 0, 3005506, 2, UNKNOWN, if (hash == -1)
/home/GabrielCSMO/devel/python/Modules, signalmodule.c, 1211, MISSING, NONE, UNEXPECTED, 3, 0, 0, 3, 2, UNKNOWN, if (PyStructSequence_InitType2(&SiginfoType
/home/GabrielCSMO/devel/python/Modules, signalmodule.c, 1210, MISSING, NONE, EXPECTED, 3, 100, 3, 0, 2, UNKNOWN, if (!initialized) {
/home/GabrielCSMO/devel/python/Objects, dictobject.c, 2162, MISSING, NONE, EXPECTED, 506976, 100, 506976, 0, 2, UNKNOWN, if (PyDict_Merge(copy
/home/GabrielCSMO/devel/python/Objects, partition.h, 82, MISSING, NONE, UNEXPECTED, 2071, 42, 875, 1196, 2, UNKNOWN, if (pos < 0) {
/home/GabrielCSMO/devel/python/Python, ast.c, 3155, MISSING, NONE, EXPECTED, 383, 100, 383, 0, 2, UNKNOWN, for (idx = 1; idx < NCH(n); idx++) {
/home/GabrielCSMO/devel/python/Python, ast.c, 3156, MISSING, NONE, EXPECTED, 383, 90, 348, 35, 2, UNKNOWN, if (TYPE(CHILD(n
/home/GabrielCSMO/devel/python/Python, ast.c, 3158, MISSING, NONE, UNEXPECTED, 348, 0, 0, 348, 2, UNKNOWN, if (!mod)
/home/GabrielCSMO/devel/python/Modules, itertoolsmodule.c, 3947, MISSING, NONE, UNEXPECTED, 4, 0, 0, 4, 2, UNKNOWN, if (slow_mode)
/home/GabrielCSMO/devel/python/Modules, itertoolsmodule.c, 3941, MISSING, NONE, UNEXPECTED, 4, 0, 0, 4, 2, UNKNOWN, if (step != 1) {
/home/GabrielCSMO/devel/python/Objects, longobject.c, 2681, MISSING, NONE, UNEXPECTED, 12002147, 0, 0, 12002147, 2, IF, return Py_SIZE(a) < 0 ? -dx
/home/GabrielCSMO/devel/python/Python, symtable.c, 203, MISSING, NONE, UNEXPECTED, 133, 0, 0, 133, 2, UNKNOWN, if (st == NULL)
/home/GabrielCSMO/devel/python/Objects, typeobject.c, 1749, MISSING, NONE, UNEXPECTED, 6621, 0, 0, 6621, 2, UNKNOWN, if (base->tp_mro == NULL) {
/home/GabrielCSMO/devel/python/Python, symtable.c, 209, MISSING, NONE, UNEXPECTED, 133, 0, 0, 133, 2, UNKNOWN, if ((st->st_stack = PyList_New(0)) == NULL)
/home/GabrielCSMO/devel/python/Objects, typeobject.c, 4997, OVERFLOW, NONE, NONE, 5091, 50, 5091, 0, 4, UNKNOWN, Py_XDECREF(key);
/home/GabrielCSMO/devel/python/Modules, _collectionsmodule.c, 141, MISSING, NONE, EXPECTED, 2, 100, 2, 0, 2, UNKNOWN, if (b != NULL) {
/home/GabrielCSMO/devel/python/Objects, typeobject.c, 4991, OVERFLOW, NONE, NONE, 5091, 50, 5091, 0, 4, UNKNOWN, if (key == NULL || PyDict_DelItem(dict
/home/GabrielCSMO/devel/python/Objects, bytesobject.c, 1408, MISSING, NONE, UNEXPECTED, 2141, 0, 0, 2141, 2, UNKNOWN, if (a->ob_sval[0] != b->ob_sval[0])
/home/GabrielCSMO/devel/python/Objects, sliceobject.c, 294, MISSING, NONE, EXPECTED, 12674128, 100, 12674128, 0, 2, UNKNOWN, if (slice_cache == NULL)
/home/GabrielCSMO/devel/python/Objects, sliceobject.c, 291, MISSING, NONE, UNEXPECTED, 12674128, 0, 0, 12674128, 2, UNKNOWN, Py_DECREF(r->step);
/home/GabrielCSMO/devel/python/Objects, sliceobject.c, 293, MISSING, NONE, UNEXPECTED, 12674128, 0, 1115, 12673013, 2, UNKNOWN, Py_DECREF(r->stop);
/home/GabrielCSMO/devel/python/Objects, sliceobject.c, 292, MISSING, NONE, UNEXPECTED, 12674128, 0, 157, 12673971, 2, UNKNOWN, Py_DECREF(r->start);
/home/GabrielCSMO/devel/python/Objects, floatobject.c, 316, MISSING, NONE, UNEXPECTED, 9000544, 0, 0, 9000544, 2, UNKNOWN, else if (!Py_IS_FINITE(i)) {
/home/GabrielCSMO/devel/python/Python, pylifecycle.c, 1472, MISSING, NONE, UNEXPECTED, 3, 0, 0, 3, 2, UNKNOWN, if (PyErr_Occurred()) {
/home/GabrielCSMO/devel/python/Objects, tupleobject.c, 236, OVERFLOW, NONE, NONE, 207879443, 50, 207875325, 4118, 4, UNKNOWN, Py_XDECREF(op->ob_item[i]);
/home/GabrielCSMO/devel/python/Python, symtable.c, 1108, MISSING, NONE, UNEXPECTED, 122, 0, 0, 122, 2, UNKNOWN, if (!symtable_add_def(st
/home/GabrielCSMO/devel/python/Python, symtable.c, 1106, MISSING, NONE, UNEXPECTED, 122, 0, 0, 122, 2, UNKNOWN, if (!tmp)
/home/GabrielCSMO/devel/python/Objects, descrobject.c, 794, MISSING, NONE, EXPECTED, 107, 100, 107, 0, 2, UNKNOWN, if (PyDict_CheckExact(pp->mapping))
/home/GabrielCSMO/devel/python/Objects, longobject.c, 1794, MISSING, NONE, UNEXPECTED, 8, 0, 0, 8, 2, UNKNOWN, if (size_a > (PY_SSIZE_T_MAX - 3) / PyLong_SHIFT) {
/home/GabrielCSMO/devel/python/Objects, funcobject.c, 15, MISSING, NONE, UNEXPECTED, 259984, 0, 3, 259981, 2, UNKNOWN, if (__name__ == NULL) {
/home/GabrielCSMO/devel/python/Objects, funcobject.c, 17, MISSING, NONE, UNEXPECTED, 3, 0, 0, 3, 2, UNKNOWN, if (__name__ == NULL)
/home/GabrielCSMO/devel/python/Objects, funcobject.c, 917, MISSING, NONE, UNEXPECTED, 500, 0, 0, 500, 2, UNKNOWN, Py_VISIT(sm->sm_dict);
/home/GabrielCSMO/devel/python/Objects, funcobject.c, 916, OVERFLOW, NONE, NONE, 500, 50, 500, 0, 4, UNKNOWN, Py_VISIT(sm->sm_callable);
/home/GabrielCSMO/devel/python/Objects, moduleobject.c, 635, MISSING, NONE, UNEXPECTED, 312, 41, 130, 182, 2, UNKNOWN, if (m->md_weaklist != NULL)
/home/GabrielCSMO/devel/python/Python, pystate.c, 155, OVERFLOW, NONE, NONE, 5, 50, 5, 0, 4, UNKNOWN, if (interp_head == NULL && head_mutex != NULL) {
/home/GabrielCSMO/devel/python/Objects, unicodeobject.c, 14930, MISSING, NONE, UNEXPECTED, 5, 0, 0, 5, 2, UNKNOWN, if (!unicode_empty)
/home/GabrielCSMO/devel/python/Objects, unicodeobject.c, 14932, MISSING, NONE, UNEXPECTED, 5, 0, 0, 5, 2, UNKNOWN, Py_DECREF(unicode_empty);
/home/GabrielCSMO/devel/python/Objects, unicodeobject.c, 14934, MISSING, NONE, UNEXPECTED, 5, 0, 0, 5, 2, UNKNOWN, if (PyType_Ready(&PyUnicode_Type) < 0)
/home/GabrielCSMO/devel/python/Python, bltinmodule.c, 2642, MISSING, NONE, UNEXPECTED, 5, 0, 0, 5, 2, UNKNOWN, if (mod == NULL)
/home/GabrielCSMO/devel/python/Objects, odictobject.c, 1843, MISSING, NONE, EXPECTED, 43, 100, 43, 0, 2, UNKNOWN, Py_DECREF(di->di_result);
/home/GabrielCSMO/devel/python/Objects, odictobject.c, 1842, MISSING, NONE, EXPECTED, 43, 100, 43, 0, 2, UNKNOWN, if (di->kind & (_odict_ITER_KEYS | _odict_ITER_VALUES)) {
/home/GabrielCSMO/devel/python/Objects, odictobject.c, 1841, OVERFLOW, NONE, NONE, 43, 6, 3, 40, 4, UNKNOWN, Py_XDECREF(di->di_current);
/home/GabrielCSMO/devel/python/Objects, odictobject.c, 1840, OVERFLOW, NONE, NONE, 43, 6, 3, 40, 4, UNKNOWN, Py_XDECREF(di->di_odict);
/home/GabrielCSMO/devel/python/Python, dtoa.c, 610, MISSING, NONE, EXPECTED, 134, 50, 67, 67, 2, UNKNOWN, if (!(x & 1)) {
